TEAM,NAME,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
ARI,Arizona Cardinals,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
ATL,Atlanta Falcons,0,1,0,0,0-0,0-1,0-0,0-1,12,18,-6,L1
BAL,Baltimore Ravens,1,0,0,1,Jan-00,0-0,0-0,Jan-00,47,3,44,W1
BUF,Buffalo Bills,0,1,0,0,0-0,0-1,0-0,0-1,3,47,-44,L1
CAR,Carolina Panthers,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
CHI,Chicago Bears,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
CIN,Cincinnati Bengals,1,0,0,1,0-0,Jan-00,0-0,Jan-00,34,23,11,W1
CLE,Cleveland Browns,0,0,1,0.5,0-0-1,0-0,0-0-1,0-0-1,21,21,0,-
DAL,Dallas Cowboys,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
DEN,Denver Broncos,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
DET,Detroit Lions,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
GB,Green Bay Packers,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
HOU,Houston Texans,0,1,0,0,0-0,0-1,0-0,0-1,20,27,-7,L1
IND,Indianapolis Colts,0,1,0,0,0-1,0-0,0-0,0-1,23,34,-11,L1
JAC,Jacksonville Jaguars,1,0,0,1,0-0,Jan-00,0-0,0-0,20,15,5,W1
KC,Kansas City Chiefs,1,0,0,1,0-0,Jan-00,Jan-00,Jan-00,38,28,10,W1
LAC,Los Angeles Chargers,0,1,0,0,0-1,0-0,0-1,0-1,28,38,-10,L1
LAR,Los Angeles Rams,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
MIA,Miami Dolphins,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
MIN,Minnesota Vikings,1,0,0,1,Jan-00,0-0,0-0,Jan-00,24,16,8,W1
NE,New England Patriots,1,0,0,1,Jan-00,0-0,0-0,Jan-00,27,20,7,W1
NO,New Orleans Saints,0,1,0,0,0-1,0-0,0-1,0-1,40,48,-8,L1
NYG,New York Giants,0,1,0,0,0-1,0-0,0-0,0-0,15,20,-5,L1
NYJ,New York Jets,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
OAK,Oakland Raiders,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
PHI,Philadelphia Eagles,1,0,0,1,Jan-00,0-0,0-0,Jan-00,18,12,6,W1
PIT,Pittsburgh Steelers,0,0,1,0.5,0-0,0-0-1,0-0-1,0-0-1,21,21,0,-
SEA,Seattle Seahawks,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
SF,San Francisco 49ers,0,1,0,0,0-0,0-1,0-0,0-1,16,24,-8,L1
TB,Tampa Bay Buccaneers,1,0,0,1,0-0,Jan-00,Jan-00,Jan-00,48,40,8,W1
TEN,Tennessee Titans,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
WAS,Washington Redskins,0,0,0,0,0-0,0-0,0-0,0-0,0,0,0,-
